kinematics	x	y	err
4.0	0.325	0.533879	0.0229191
4.0 	0.375	0.528817	0.00459587
4.0  	0.425	0.546106	0.00442867
4.0 	0.425	0.534747	0.0118922
4.0	0.475	0.54811		0.00667018
4.0	0.475	0.537695	0.00534489
4.0	0.525	0.527287	0.00564152
4.0	0.525	0.454197	0.0144617
4.0	0.575	0.533108	0.00656272
4.0	0.575	0.512962	0.0114884
4.0	0.575	0.42701		0.0473126
4.0	0.625	0.565787	0.0182152
4.0	0.625	0.536654	0.011955
4.0	0.625	0.506243	0.00794944
4.0	0.675	0.499049	0.0109689
4.0	0.675	0.53903		0.00694984
4.0	0.725	0.610276	0.0263758
4.0	0.725	0.525556	0.00724805
4.0	0.775	0.593593	0.0149632
3.98	0.325	0.538168	0.0109218
3.98	0.375	0.567222	0.00466476
3.98	0.425	0.562052	0.0043977
3.98	0.425	0.580473	0.00820147
3.98	0.475	0.5879		0.00741626
3.98	0.475	0.577767	0.0050914
3.98	0.475	0.552404	0.0444682
3.98	0.525	0.514838	0.0202868
3.98	0.525	0.565993	0.00500319
3.98	0.525	0.584256	0.00887604
3.98	0.575	0.580347	0.00869423
3.98	0.575	0.587507	0.00766326
3.98	0.575	0.545671	0.0198428
3.98	0.625	0.575191	0.0475375
3.98	0.625	0.590892	0.00965088
3.98	0.625	0.621158	0.0122246
3.98	0.675	0.466211	0.0204532
3.98	0.675	0.530208	0.018162
4.75	0.425	0.544998	0.00848208
4.75	0.475	0.565805	0.00435874
4.75	0.525	0.572882	0.00449706
4.75	0.525	0.54191		0.00928524
4.75	0.575	0.583778	0.00600668
4.75	0.575	0.568667	0.0074628
4.75	0.575	0.536636	0.0312031
4.75	0.625	0.595522	0.00770247
4.75	0.625	0.575228	0.0158772
4.75	0.625	0.601767	0.00949536
4.75	0.675	0.573539	0.0104855
4.75	0.675	0.600725	0.0106433
4.75	0.725	0.689482	0.0935246
4.75	0.725	0.574572	0.0186087
4.75	0.775	0.432744	0
4.764	0.325	0.58749		0.0117442
4.764	0.375	0.606026	0.00511504
4.764	0.425	0.591344	0.00513608
4.764	0.425	0.591469	0.00830514
4.764	0.475	0.623373	0.0111378
4.764	0.475	0.590313	0.00537793
4.764	0.475	0.547759	0.029578
4.764	0.525	0.608239	0.00654694
4.764	0.525	0.620867	0.00861946
4.764	0.575	0.595428	0.0146522
4.764	0.575	0.626277	0.00908901
4.764	0.575	0.609057	0.0188528
4.764	0.625	0.627741	0.0172755
4.764	0.625	0.620523	0.0184207
4.764	0.675	0.666377	0.159904
4.764	0.675	0.426372	0.11398
5.5	0.375	0.593204	0.0178663
5.5	0.425	0.62433		0.00825747
5.5	0.475	0.646523	0.00967033
5.5	0.475	0.64694		0.012345
5.5	0.525	0.630315	0.0193745
5.5	0.525	0.632033	0.0104147
5.5	0.575	0.613428	0.0144617
5.5	0.625	0.697363	0.041189
