3.898	0.325	0.797799	0.0494558
3.898	0.375	0.80766	0.0216409
3.898	0.425	0.876145	0.0227741
3.898	0.475	0.905879	0.0341481
3.898	0.525	0.570538	0.0617347
3.898	0.425	0.745087	0.0325169
3.898	0.475	0.838697	0.0218094
3.898	0.525	0.772961	0.0191659
3.898	0.575	0.991314	0.0452986
3.898	0.625	0.852283	0.142574
3.898	0.475	0.765201	0.257301
3.898	0.525	0.846606	0.0430024
3.898	0.575	0.903701	0.0343619
3.898	0.625	0.976701	0.0419625
3.898	0.675	0.721945	0.0881748
3.898	0.575	1.13329	0.161955
3.898	0.625	1.0934	0.0693674
3.898	0.675	1.0219	0.119014
4.75	0.425	0.858218	0.0473018
4.75	0.475	0.858831	0.0245154
4.75	0.525	0.834842	0.0226143
4.75	0.575	0.919674	0.0298347
4.75	0.625	0.959472	0.0752884
4.75	0.525	0.800413	0.0456452
4.75	0.575	0.852925	0.0338261
4.75	0.625	0.963629	0.0363759
4.75	0.675	0.924906	0.0487415
4.75	0.725	4.60604	5.27444
4.75	0.575	0.844457	0.140204
4.75	0.625	1.02125	0.0516626
4.75	0.675	1.05088	0.0521467
4.75	0.725	0.88351	0.0797719
4.75	0.775	0.432744	0
4.764	0.325	1.29832	0.121193
4.764	0.375	1.19652	0.0418826
4.764	0.425	1.32524	0.0482086
4.764	0.475	1.37074	0.0926838
4.764	0.425	0.96238	0.0478813
4.764	0.475	1.00852	0.0303265
4.764	0.525	0.933937	0.0313208
4.764	0.575	1.11469	0.0997656
4.764	0.475	1.4592	0.339773
4.764	0.525	0.951783	0.0447421
4.764	0.575	1.04282	0.0463755
4.764	0.625	0.889527	0.074234
4.764	0.675	4.27199	7.73736
4.764	0.575	1.06415	0.110417
4.764	0.625	1.11503	0.107844
4.764	0.675	0.279869	0.205972
5.5	0.375	1.08824	0.111777
5.5	0.425	1.11499	0.0482293
5.5	0.475	1.03051	0.0468797
5.5	0.525	1.90187	0.214885
5.5	0.475	1.09845	0.0564492
5.5	0.525	1.06265	0.0501492
5.5	0.575	0.994209	0.0703044
5.5	0.625	1.21866	0.190912
4	0.325	0.870519	0.284273
4	0.375	0.795948	0.0323717
4	0.425	0.80879	0.0274151
4	0.475	0.878315	0.0439626
4	0.425	0.956115	0.100679
4	0.475	0.934629	0.0357221
4	0.525	0.876377	0.037074
4	0.575	0.807276	0.0330421
4	0.625	0.911978	0.0978638
4	0.525	0.823572	0.117942
4	0.575	0.809083	0.0765766
4	0.625	0.785364	0.0664144
4	0.675	0.764565	0.0609493
4	0.725	0.782185	0.0940961
4	0.575	0.702849	0.233535
4	0.625	0.676585	0.0335418
4	0.675	0.76262	0.0286829
4	0.725	0.788731	0.0312477
4	0.775	0.807673	0.0534398
